date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:02	5765/5765	---M-Z	200	added ('OK')	application/javascript	etag:%221685-58c7fce27bfc0-gzip%22	https://preview.colorlib.com/theme/clark/js/main.js	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/js/main.js	(from https://preview.colorlib.com/theme/clark/)
12:26:03	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-58c7fd02e8c40-br%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.eot	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.eot	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:03	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-58c7fd02e8c40-br%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.eot?	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconicd41d.eot	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:04	14984/14984	---M--	200	added ('OK')	font/woff	etag:%223a88-58c7fd04d10c0%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.woff	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.woff	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:04	28028/28028	---MCZ	200	added ('OK')	font/ttf	etag:W/%226d7c-58c7fd03dce80%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.ttf	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.ttf	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:05	20996/20996	---MCZ	200	added ('OK')	font/ttf	etag:W/%225204-58c7fd02e8c40%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.otf	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.otf	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:06	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-58c7fd03dce80%22	https://preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.svg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/clark/css/open-iconic-bootstrap.min.css)
12:26:06	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2009:26:06%20GMT	https://preview.colorlib.com/theme/clark/css/owl.video.play.png	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/css/owl.video.play.png	(from https://preview.colorlib.com/theme/clark/css/owl.carousel.min.css)
12:26:08	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-58c7fd30af840-br%22	https://preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/clark/css/ionicons.min.css)
12:26:08	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-58c7fd3574380%22	https://preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/clark/css/ionicons.min.css)
12:26:16	112648/112648	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b808-58c7fd3480140%22	https://preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons580c.ttf	(from https://preview.colorlib.com/theme/clark/css/ionicons.min.css)
